 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 29, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Rubidium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5320E+00 g/cm3 = 1.0794E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Rb     37    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   4.50 MeV   4.314E-02  2.361E-05  414.37 um    21.96 um    34.90 um  
   5.00 MeV   4.021E-02  2.157E-05  491.64 um    26.08 um    40.87 um  
   5.50 MeV   3.770E-02  1.987E-05  574.33 um    30.21 um    47.20 um  
   6.00 MeV   3.553E-02  1.843E-05  662.30 um    34.38 um    53.87 um  
   6.50 MeV   3.363E-02  1.720E-05  755.47 um    38.61 um    60.88 um  
   7.00 MeV   3.195E-02  1.613E-05  853.75 um    42.92 um    68.22 um  
   8.00 MeV   2.910E-02  1.436E-05    1.07 mm    55.81 um    83.87 um  
   9.00 MeV   2.678E-02  1.296E-05    1.30 mm    68.34 um   100.77 um  
  10.00 MeV   2.484E-02  1.182E-05    1.55 mm    80.86 um   118.90 um  
  11.00 MeV   2.319E-02  1.088E-05    1.82 mm    93.51 um   138.22 um  
  12.00 MeV   2.178E-02  1.008E-05    2.10 mm   106.38 um   158.70 um  
  13.00 MeV   2.055E-02  9.398E-06    2.41 mm   119.51 um   180.31 um  
  14.00 MeV   1.946E-02  8.806E-06    2.73 mm   132.93 um   203.05 um  
  15.00 MeV   1.850E-02  8.288E-06    3.07 mm   146.66 um   226.87 um  
  16.00 MeV   1.764E-02  7.830E-06    3.43 mm   160.70 um   251.77 um  
  17.00 MeV   1.687E-02  7.423E-06    3.80 mm   175.06 um   277.73 um  
  18.00 MeV   1.617E-02  7.058E-06    4.19 mm   189.74 um   304.73 um  
  20.00 MeV   1.495E-02  6.431E-06    5.02 mm   234.88 um   361.81 um  
  22.50 MeV   1.369E-02  5.795E-06    6.15 mm   298.54 um   438.78 um  
  25.00 MeV   1.265E-02  5.278E-06    7.38 mm   360.69 um   521.80 um  
  27.50 MeV   1.178E-02  4.850E-06    8.70 mm   422.74 um   610.69 um  
  30.00 MeV   1.103E-02  4.489E-06   10.12 mm   485.36 um   705.29 um  
  32.50 MeV   1.038E-02  4.181E-06   11.63 mm   548.91 um   805.46 um  
  35.00 MeV   9.820E-03  3.914E-06   13.23 mm   613.59 um   911.06 um  
